timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 03:23:24.343, 1, 0 %, 8555 MiB
2026/09/05 03:23:25.344, 0, 2 %, 11561 MiB
2026/09/05 03:23:25.345, 1, 0 %, 8555 MiB
2026/09/05 03:23:26.346, 0, 1 %, 11559 MiB
2026/09/05 03:23:26.346, 1, 0 %, 8555 MiB
2026/09/05 03:23:27.347, 0, 1 %, 11559 MiB
2026/09/05 03:23:27.348, 1, 0 %, 8555 MiB
2026/09/05 03:23:28.349, 0, 1 %, 11559 MiB
2026/09/05 03:23:28.350, 1, 0 %, 8555 MiB
2026/09/05 03:23:29.352, 0, 1 %, 11559 MiB
2026/09/05 03:23:29.352, 1, 0 %, 8555 MiB
2026/09/05 03:23:30.353, 0, 2 %, 11559 MiB
2026/09/05 03:23:30.354, 1, 0 %, 8555 MiB
2026/09/05 03:23:31.355, 0, 3 %, 11559 MiB
2026/09/05 03:23:31.357, 1, 0 %, 8555 MiB
2026/09/05 03:23:32.358, 0, 5 %, 11559 MiB
2026/09/05 03:23:32.359, 1, 0 %, 8555 MiB
2026/09/05 03:23:33.360, 0, 3 %, 11559 MiB
2026/09/05 03:23:33.361, 1, 0 %, 8555 MiB
2026/09/05 03:23:34.362, 0, 6 %, 11559 MiB
2026/09/05 03:23:34.363, 1, 0 %, 8555 MiB
2026/09/05 03:23:35.364, 0, 6 %, 11559 MiB
2026/09/05 03:23:35.365, 1, 0 %, 8555 MiB
2026/09/05 03:23:38.579, 0, 4 %, 11559 MiB
2026/09/05 03:23:38.580, 1, 0 %, 8555 MiB
2026/09/05 03:23:39.581, 0, 3 %, 11559 MiB
2026/09/05 03:23:39.582, 1, 0 %, 8555 MiB
2026/09/05 03:23:40.583, 0, 5 %, 11559 MiB
2026/09/05 03:23:40.585, 1, 0 %, 8555 MiB
2026/09/05 03:23:41.586, 0, 3 %, 11559 MiB
2026/09/05 03:23:41.587, 1, 0 %, 8555 MiB
2026/09/05 03:23:42.588, 0, 3 %, 11559 MiB
2026/09/05 03:23:42.589, 1, 0 %, 8555 MiB
2026/09/05 03:23:43.590, 0, 6 %, 11561 MiB
2026/09/05 03:23:43.592, 1, 0 %, 8555 MiB
2026/09/05 03:23:44.593, 0, 6 %, 11563 MiB
2026/09/05 03:23:44.594, 1, 0 %, 8555 MiB
2026/09/05 03:23:45.595, 0, 3 %, 11563 MiB
2026/09/05 03:23:45.597, 1, 0 %, 8555 MiB
2026/09/05 03:23:46.598, 0, 5 %, 11563 MiB
2026/09/05 03:23:46.599, 1, 0 %, 8555 MiB
2026/09/05 03:23:47.601, 0, 4 %, 11563 MiB
2026/09/05 03:23:47.601, 1, 0 %, 8555 MiB
2026/09/05 03:23:48.603, 0, 5 %, 11563 MiB
2026/09/05 03:23:48.604, 1, 0 %, 8555 MiB
2026/09/05 03:23:49.605, 0, 5 %, 11563 MiB
2026/09/05 03:23:49.606, 1, 0 %, 8555 MiB
2026/09/05 03:23:50.607, 0, 4 %, 11563 MiB
2026/09/05 03:23:50.608, 1, 0 %, 8555 MiB
2026/09/05 03:23:51.609, 0, 5 %, 11563 MiB
2026/09/05 03:23:51.610, 1, 0 %, 8555 MiB
2026/09/05 03:23:52.611, 0, 5 %, 11563 MiB
2026/09/05 03:23:52.613, 1, 0 %, 8555 MiB
2026/09/05 03:23:53.614, 0, 4 %, 11563 MiB
2026/09/05 03:23:53.615, 1, 0 %, 8555 MiB
2026/09/05 03:23:54.616, 0, 4 %, 11563 MiB
2026/09/05 03:23:54.617, 1, 0 %, 8555 MiB
2026/09/05 03:23:55.618, 0, 5 %, 11563 MiB
2026/09/05 03:23:55.619, 1, 0 %, 8555 MiB
2026/09/05 03:23:56.621, 0, 6 %, 11563 MiB
2026/09/05 03:23:56.622, 1, 0 %, 8555 MiB
2026/09/05 03:23:57.623, 0, 5 %, 11563 MiB
2026/09/05 03:23:57.624, 1, 0 %, 8555 MiB
2026/09/05 03:23:58.625, 0, 4 %, 11563 MiB
2026/09/05 03:23:58.628, 1, 0 %, 8555 MiB
2026/09/05 03:23:59.635, 0, 6 %, 11563 MiB
2026/09/05 03:23:59.636, 1, 0 %, 8555 MiB
2026/09/05 03:24:00.637, 0, 4 %, 11563 MiB
2026/09/05 03:24:00.638, 1, 0 %, 8555 MiB
2026/09/05 03:24:01.639, 0, 7 %, 11563 MiB
2026/09/05 03:24:01.640, 1, 0 %, 8555 MiB
2026/09/05 03:24:02.641, 0, 7 %, 11563 MiB
2026/09/05 03:24:02.642, 1, 0 %, 8555 MiB
2026/09/05 03:24:03.643, 0, 11 %, 11563 MiB
2026/09/05 03:24:03.644, 1, 0 %, 8555 MiB
2026/09/05 03:24:04.645, 0, 8 %, 11563 MiB
